nombre	trim	estado	municipio	isla	comunidad
Pollença	Pollenca	Capital de municipio	Pollença	Mallorca	Illes Balears
Pollença (Pollensa)	Pollenca-Pollensa	Municipio	Pollença (Pollensa)	Mallorca	Illes Balears
Porreres	Porreres	Capital de municipio	Porreres	Mallorca	Illes Balears
Port d'Alcúdia	Port_d__Alcudia	Localidad	Alcúdia	Mallorca	Illes Balears
Port d'Andratx	Port_d__Andratx	Localidad	Andratx	Mallorca	Illes Balears
Port de Pollença	Port_de_Pollenca	Localidad	Pollença	Mallorca	Illes Balears
Port de Sa Calobra	Port_de_Sa_Calobra	Localidad	Escorca	Mallorca	Illes Balears
Port de Sant Miquel	Port_de_Sant_Miquel	Localidad	Sant Joan de Labritja	Mallorca	Illes Balears
Port Verd	Port_Verd	Localidad	Son Servera	Mallorca	Illes Balears
Portals Nous	Portals_Nous	Localidad	Calvià	Mallorca	Illes Balears
Portals Vells	Portals_Vells	Localidad	Calvià	Mallorca	Illes Balears
Porto Cristo	Porto_Cristo	Localidad	Manacor	Mallorca	Illes Balears
Portocolom	Portocolom	Localidad	Felanitx	Mallorca	Illes Balears
Pòrtol	Portol	Localidad	Marratxí	Mallorca	Illes Balears
Portopetro	Portopetro	Localidad	Santanyí	Mallorca	Illes Balears
Provensals	Provensals	Localidad	Capdepera	Mallorca	Illes Balears
Puig de Ros (Puigderrós)	Puig_de_Ros-Puigderros	Localidad	Llucmajor	Mallorca	Illes Balears
Puigpunyent	Puigpunyent	Capital de municipio	Puigpunyent	Mallorca	Illes Balears
Randa	Randa	Localidad	Algaida	Mallorca	Illes Balears
Ruberts	Ruberts	Localidad	Sencelles	Mallorca	Illes Balears
Sa Casa Blanca	Sa_Casa_Blanca	Localidad	Palma	Mallorca	Illes Balears
Sa Coma	Sa_Coma	Localidad	Bunyola	Mallorca	Illes Balears
Sa Coma (La Coma)	Sa_Coma-La_Coma	Localidad	Sant Llorenç des Cardassar	Mallorca	Illes Balears
Sa Fonts Seca	Sa_Fonts_Seca	Localidad	Bunyola	Mallorca	Illes Balears
Sa Indioteria	Sa_Indioteria	Localidad	Palma	Mallorca	Illes Balears
Sa Pobla	Sa_Pobla	Capital de municipio	Sa Pobla	Mallorca	Illes Balears
Sa Pobla (La Puebla)	Sa_Pobla-La_Puebla	Municipio	Sa Pobla (La Puebla)	Mallorca	Illes Balears
Sa Porrassa	Sa_Porrassa	Localidad	Calvià	Mallorca	Illes Balears
Sa Ràpita	Sa_Rapita	Localidad	Campos	Mallorca	Illes Balears
Sa Torre	Sa_Torre	Localidad	Llucmajor	Mallorca	Illes Balears
Sa Vileta-Son Rapinya	Sa_Vileta-Son_Rapinya	Localidad	Palma	Mallorca	Illes Balears
Sa Vinyola	Sa_Vinyola	Localidad	Campos	Mallorca	Illes Balears
